Похибка апроксимації |f(x) - φ(x)| для m = 1..4
       x |        m=1 |        m=2 |        m=3 |        m=4
   8.906 |     7.3979 |     6.3896 |     5.2602 |     6.6805
   8.954 |     7.1448 |     6.1266 |     5.0071 |     6.5697
   9.002 |     6.8876 |     5.8597 |     4.7502 |     6.4541
   9.050 |     6.5387 |     5.5012 |     4.4019 |     6.2463
   9.098 |     6.1898 |     5.1428 |     4.0540 |     6.0378
   9.146 |     5.8408 |     4.7845 |     3.7064 |     5.8285
   9.194 |     5.4919 |     4.4264 |     3.3592 |     5.6186
   9.242 |     5.1430 |     4.0685 |     3.0123 |     5.4078
   9.290 |     4.7941 |     3.7106 |     2.6657 |     5.1962
   9.337 |     4.4452 |     3.3529 |     2.3194 |     4.9837
   9.385 |     4.0963 |     2.9953 |     1.9735 |     4.7703
   9.433 |     3.7473 |     2.6379 |     1.6278 |     4.5560
   9.481 |     3.3984 |     2.2806 |     1.2825 |     4.3407
   9.529 |     3.0495 |     1.9234 |     0.9375 |     4.1243
   9.577 |     2.7006 |     1.5663 |     0.5928 |     3.9069
   9.625 |     2.3517 |     1.2094 |     0.2484 |     3.6884
   9.673 |     2.0028 |     0.8526 |     0.0957 |     3.4688
   9.721 |     1.6538 |     0.4960 |     0.4395 |     3.2480
   9.769 |     1.3049 |     0.1394 |     0.7830 |     3.0260
   9.817 |     0.9560 |     0.2170 |     1.1262 |     2.8027
   9.865 |     0.6071 |     0.5732 |     1.4691 |     2.5782
   9.912 |     0.2582 |     0.9293 |     1.8117 |     2.3524
   9.960 |     0.0907 |     1.2853 |     2.1540 |     2.1253
  10.008 |     0.4230 |     1.6245 |     2.4794 |     1.9134
  10.056 |     0.6761 |     1.8844 |     2.7253 |     1.7793
  10.104 |     0.9292 |     2.1442 |     2.9710 |     1.6438
  10.152 |     1.1822 |     2.4038 |     3.2164 |     1.5068
  10.200 |     1.4353 |     2.6633 |     3.4615 |     1.3684
  10.248 |     1.6884 |     2.9227 |     3.7064 |     1.2284
  10.296 |     1.9415 |     3.1819 |     3.9509 |     1.0869
  10.344 |     2.1946 |     3.4410 |     4.1953 |     0.9438
  10.392 |     2.4477 |     3.7000 |     4.4393 |     0.7991
